Title,Address,Number of Residences,Number of Floors,Number of Buildings,Type,Features,Additional Features,Highlights,Description,Agent Name,Agency href

$500 per week,1502/7-23 Mackenzie Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"1Bed, 1Bath, −Parking",Broadband internet access* Balcony / Deck*,,"<p>Proudly presenting conservatory, where the vibrancy of the city combines with the tranquility of the gardens. Dedicated to nurturing and enhancing a sense of wellbeing, Conservatory will offer a sanctuary for its occupants - a place to grow, relax and share special moments.<br>As the seasons turn, the sinuously curving glass façade will reflect the changing colours of the gardens below and within</p>",Sisi Peng,https://www.domain.com.au/real-estate-agencies/ironfishrealestatemelbourne-21689/
$500 per week,2408/120 Abeckett Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"1Bed, 1Bath, −Parking",Built in wardrobes* Gas* Internal Laundry* Gym* Intercom* Heating* Dishwasher* Balcony / Deck*,,"<p>Seat at premium location in the Melbourne CBD, this fully furnished 1 bedroom apartment with hotel standard furniture and comfortable layout offer you unparallel living experience in the City. The RMIT and Queen Victorian Market is just at a block away, tram line link Flinders Station and North Suburbs are just few steps away along the Elizabeth St, the apartment is surrounded by the grocery</p>",Lakely Shu,https://www.domain.com.au/real-estate-agencies/eliterealestate-4757/
$630 per week,803/220 Spencer Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"2Beds, 2Baths, 1Parking",Dishwasher* Balcony / Deck*,,"<p>. Furnished 2 Bedroom, 2 Bathroom <br>. Large bedroom with built in wardrobe<br>. Spacious main bathroom <br>. Electric cooktop, oven, dishwasher<br>. 1 sercure car space</p> <p>Featuring: Gym, Pool, Sauna, Terrace<br>Amenities: Close to everything in CBD</p> <p>** COVID-19 Announcement **<br>If you're attending an inspection, we request that you only attend if you are fit and healthy to do so and not under any self-isolation</p>",Jeff Yu,https://www.domain.com.au/real-estate-agencies/eliterealestate-4757/
"$1,000 per week",7206/462 Elizabeth Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"3Beds, 2Baths, 1Parking",Gas* Furnished* Dishwasher* Balcony / Deck*,,"<p>Ideal location around with Shopping mall and Melbourne Central Station ,only 5 mins walk to coles and Woolworth</p> <p>This gorgeous apartment offers three good size bedrooms all Fully Furnished, fully equipped modern kitchen with gas cook top, top brand oven and dishwasher, spacious open living/dining area with private balcony Great View.</p> <p>We also provide essentials ready to move in.</p> <p>Property check in</p>",,https://www.domain.com.au/real-estate-agencies/eliterealestate-4757/
Contact Agent,2405/327 La Trobe Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"1Bed, 1Bath, −Parking",Gas* Air conditioning Built in wardrobes Furnished Close To Parklands Close to schools Close to shops Close to transport Broadband Dishwasher,,"<p>Arranging an inspection is easy!<br>To book a time to inspect, simply click on Book an Inspection Time or Email Agent to book instantly using our online system.<br>By registering, you will be INSTANTLY informed of any updates, changes or cancellations for your appointment.</p> <p>NOTE: In line with the Vic Government Covid-19 mandates, all attendees must be fully vaccinated and register their details. Please</p>",Kate Symons,https://www.domain.com.au/real-estate-agencies/mre-20795/
$680 Per Week,2010/318 Russell Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"2Beds, 2Baths, 1Parking",Gas* Gym* Dishwasher* Balcony / Deck*,,"<p>***Available 18 Dec 2022***</p> <p>Situated comfortably within Melbourne's inner CBD, this property places you in close proximity to public transport (free tram zone and Melbourne Central Station), QV, State Library of Victoria, Melbourne University, and RMIT University. Embrace the simplicity of life at a central location convenient access to all your needs and an endless list of possibilities.</p> <p>This</p>",Mario Setiawan,https://www.domain.com.au/real-estate-agencies/casarealestate-20327/
$650 per week,3105/8 Sutherland Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"2Beds, 2Baths, −Parking",Gas* Internal Laundry* Broadband internet access* In Ground Pool Balcony Indoor Spa Split System Heating Split System AirCon Gym Built in wardrobes Intercom Furnished,,<p>This two bedroom furnished apartment is in the heart of Melbourne CBD!</p> <p>Apartment features:<br>- Two spacious bedrooms both with built-in robes one with a ensuite<br>- Open plan living and dining with balcony access<br>- Miele cook top and oven<br>- Caesar stone bench tops and plenty of storage throughout the kitchen<br>- Split system heating/cooling in main living area<br>- Euro laundry<br>- NBN ready<br>- Gas included</p>,Michael Carter,https://www.domain.com.au/real-estate-agencies/bradyresidential-7261/
$460 per week,729/118 Franklin Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"2Beds, 1Bath, −Parking",Built in wardrobes* Internal Laundry* Furnished* Heating* Balcony / Deck*,,"<p>This fully-furnished Two bedroom apartment located in the heard of Melbourne CBD, Only 5 mins walk to Queen Victoria Market and Flagstaff Gardens, 10 mins walk to RMIT University, University of Melbourne and Melbourne Central.</p> <p>This 7th floor pad features quality furniture, relaxed living and meals with reverse cycle heating and cooling, balcony with west views, bedrooms with built-in robes</p>",Lakely Shu,https://www.domain.com.au/real-estate-agencies/eliterealestate-4757/
$600 per week,2701/500 Elizabeth Street Melbourne VIC 3000,,,,Apartment / Unit / Flat,"2Beds, 2Baths, −Parking",Gas* Internal Laundry* Broadband internet access* In Ground Pool Balcony Indoor Spa Split System Heating Split System AirCon Gym Built in wardrobes Intercom,,"<p>A lifestyle unrivalled in sophistication, convenience, luxury and choice and ideally situated in a coveted corner position in Melbourne's CBD, this two bedroom, one bathroom apartment offers an amazing balance of lifestyle and leisure.</p> <p>Apartment features:<br>-Miele S/S appliances<br>-Caesar stone bench tops<br>-Split system heating and air conditioning<br>-NBN<br>-Balcony<br>-Natural tones<br>-Bathroom with quality</p>",Michael Carter,https://www.domain.com.au/real-estate-agencies/bradyresidential-7261/
